"canned-near_here", "Near Me", "Nearby"
"canned-camden", "Camden"
"canned-central_london", "Central London"
"canned-city", "City"
"canned-clerkenwell", "Clerkenwell"
"canned-east_london", "East London"
"canned-kensington_and_chelsea", "Kensington & Chelsea"
"canned-north_east_london", "North East London"
"canned-north_london", "North London"
"canned-north_west_london", "North West London"
"canned-shoreditch", "Shoreditch"
"canned-soho", "Soho"
"canned-south_east_london", "South East London"
"canned-south_london", "South London"
"canned-south_west_london", "South West London"
"canned-southbank", "South Bank"
"canned-west_end", "West End"
"canned-west_london", "West London"
